,actively_hiring,Type_of_job,company_name,location,salary,experience
89,,Junior Product Manager,Neo91 (DSBL Private Limited),Bangalore,₹  6 - 8 LPA,0-5 years
90,,Junior Fashion Designer,Nimisha Singh,Delhi,₹  2 - 2.4 LPA,0-2 years
91,,Telecom Design Engineer,Finulent Solutions LLP,Noida,₹  2 - 2.3 LPA,0-2 years
92,,Associate Software Tester,Stelo Technology Private Limited,Pune,₹  2 - 2.4 LPA,0-2 years
93,,Junior Social Media Marketing Executive,Siya Sadarangani,Mumbai,₹  3 - 3.5 LPA,0-2 years
94,,Sales And Marketing Associate,Accuracy Business Services Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
95,,Business Development Manager,Candid Solutions,Mumbai,₹  3 - 3.5 LPA,0-2 years
96,,Telecaller,YESS - YOUR EVERYDAY SUPER STORE,Delhi,₹  2.5 LPA,0-2 years
97,,Business Development Associate,Pylon Management Consulting,Work from home,₹  2 - 2.8 LPA,0-2 years
98,,Junior .NET Developer,Dupat Infotronicx Private Limited,Ahmedabad,₹  2 - 2.2 LPA,0-2 years
99,,Retail Sales Assistant,Brands Alexa Private Limited,Hyderabad,₹  2 - 3 LPA,0-2 years
100,,Junior Product Designer,Bombay Atelier,Work from home,₹  6 LPA,0-5 years
101,,Digital Marketing Executive,Add Pearlinfo Private Limited,Ahmedabad,₹  2 - 2.4 LPA,0-2 years
102,1.0,Customer Support Executive (Chat Process),Astrotalk,Work from home,₹  2 - 2.4 LPA,0-2 years
103,,Data Entry Associate,Eminenture Private Limited,Delhi,₹  2 - 2.5 LPA,0-2 years
104,,FRONT DESK EXECUTIVE,Smartnet Software Private Limited,Pune,₹  2 - 3 LPA,0-2 years
105,,Business Development Executive,Flippr Media,Bangalore,₹  2.8 - 3.5 LPA,0-2 years
106,,Business Development Manager,Ladders Up HR Solutions LLP,Noida,₹  2 - 2.25 LPA,0-2 years
107,,Assistant Manager - Debt Syndication,Express Rupya,Mumbai,₹  3 - 3.1 LPA,0-2 years
108,,Lead Generation Executive,CyntraLabs Private Limited,Noida,₹  4.5 LPA,0-2 years
109,,Tele Sales Executive,Paisabazaar,Chennai,₹  2 - 2.7 LPA,0-2 years
110,,Salon Manager,Love.hair,Mumbai,₹  2 - 3 LPA,0-2 years
111,1.0,Corporate Sales Specialist,PSAM Organic,Work from home,₹  2.5 - 3.5 LPA,0-2 years
112,,Graphic Designer,Dhriti Fashion,Delhi,₹  2.5 - 5 LPA,0-5 years
113,,Junior Search Engine Optimization (SEO) Executive,JPP Technology Services LLC,Ahmedabad,₹  2 - 2.4 LPA,0-2 years
114,,Digital Marketing Associate,Cryptographic Solutions,Tiruchirappalli,₹  2.4 - 2.5 LPA,0-2 years
115,,Business Development Associate,CapitalCORN,Bangalore,₹  2.5 LPA,0-2 years
116,,Interior Designer,The Line Studio,Bangalore,₹  5.2 - 6.5 LPA,0-5 years
117,,Junior Media & Public Relations (PR) Associate,Grasshoppers India Private Limited,Delhi,₹  2.4 - 3 LPA,0-2 years
118,1.0,Client Service Executive (Web),Zigsaw Consultancy,Mumbai,₹  3 - 3.6 LPA,0-2 years
119,1.0,Digital Marketing Analyst,At Quest Sustainability Services,Work from home,₹  3 LPA,0-2 years
120,1.0,Web Development,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
121,,Vendor Developer,Sparsa Digital Private Limited,Gurgaon,₹  2 - 3 LPA,0-2 years
122,,Marketing Executive,JP RESPONSE MANAGEMENT COMPANY PRIVATE LIMITED,Delhi,₹  2 - 3 LPA,0-2 years
123,,Junior Lead Generation Executive,Explore And Do Technologies Private Limited,Hyderabad,₹  2 - 2.5 LPA,0-2 years
124,,Associate - Sales Operations,UpGrad (upGrad Education Private Limited),Gurgaon,₹  2.4 - 4.2 LPA,0-2 years
125,,Design Engineer,River Learning,Mysuru,₹  2 - 3 LPA,0-2 years
126,,Business Development Associate,Bragnam Learning Private Limited,Chandigarh,₹  2 - 3 LPA,0-2 years
127,1.0,User Experience Designer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
128,1.0,Data Entry Executive,GRS Infotech,Work from home,₹  2 LPA,0-2 years
129,1.0,Tele Sales Executive,Zigsaw Consultancy,Thane,₹  3 LPA,0-2 years
130,1.0,IT Data Visualization Trainee,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
131,1.0,IT Augmented Reality (AR)/Virtual Reality (VR) Executive,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
132,1.0,IT Data Center Operations Associate,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
133,1.0,IT Innovation And Emerging Technologies Executive,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
134,1.0,Business Development Executive,Corizo Edu-Tech,Bangalore,₹  4 - 6.5 LPA,0-5 years
135,1.0,IT Operations Analyst,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
136,1.0,Content Writer,Redwood Algorithms,Work from home,₹  2 - 4 LPA,0-2 years
137,1.0,IT Sales Representative,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
138,,Academic Counsellor,Moople Institue Of Animation And Design,Kolkata,₹  3 LPA,0-2 years
139,,Fashion Stylist,Jewels Infosystems,Jaipur,₹  2 - 2.4 LPA,0-2 years
140,,Business Development Associate,BYJU's,Coimbatore,₹  7 - 8 LPA,0-5 years
141,,Associate UI/UX Designer,Akut High Tech,Work from home,₹  2.6 LPA,0-2 years
142,,Associate Coordinator,CareerNet Technologies Private Limited,Mumbai,₹  2 - 3 LPA,0-2 years
143,1.0,Cloud Solutions Architect,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
144,1.0,Quality Assurance Analyst,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
145,1.0,Field Salesman,Zigsaw Consultancy,Mumbai,₹  3 - 3.6 LPA,0-2 years
146,,Business Development Trainee,Propellum Infotech,Mumbai,₹  2 - 3 LPA,0-2 years
147,,Junior Operations Associate,MFine,Delhi,₹  3 - 3.5 LPA,0-2 years
148,,Business Development Associate,Cognosia,Work from home,₹  3 - 5 LPA,0-5 years
149,1.0,Database Administrator,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
150,,Graphic Designer,Indifoot,Work from home,₹  2.1 - 2.9 LPA,0-2 years
151,1.0,IT Project Manager,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
152,1.0,React Native Developer,Omikron Technologies Private Limited,Work from home,₹  3 LPA,0-2 years
153,1.0,UI/UX Designer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
154,1.0,IT Release Manager,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
155,,Inside Sales Executive,Wavity Private Limited,Hyderabad,₹  2.5 - 3.5 LPA,0-2 years
156,,Client Servicing Executive - Junior,White Background Studio,Mumbai,₹  2 - 2.4 LPA,0-2 years
157,,Video Editor Trainee,Melonleaf Consulting,Gurgaon,₹  3 - 3.3 LPA,0-2 years
158,,Fashion Designer,Flutch Technology Private Limited,Bangalore,₹  2.5 - 3 LPA,0-2 years
